Age,Gender,Rank,Years of Service,Current Posting,Job Satisfaction,Work Valued by Superiors,Recommend Navy Career,Commitment Level,Feeling Overwhelmed,Support from Colleagues,Quality of Support Services,Personal/Family Stress,Financial Stress,Work-Life Balance,Unauthorized Leave Taken,Consider Leaving Post,Absence Due to Stress,Distracted by Life Events,Mental Health Rating,Mental Health Support,Isolation Frequency,Mental Health Condition,Mood Changes
26-35,Male,seaman,8-15 years,Administrative Office,Satisfied,Yes,Very likely,5,Sometimes,Yes,Excellent,Never,Yes,No,No,No,Never,Yes,Excellent,Yes,Sometimes,No,Sometimes
36-45,Female,petty officer ,16+ years,Administrative Office,Neutral,Yes,Likely,4,Often,sometimes,Good,often,Yes,No,No,No,Never,Yes,Fair,No,Sometimes,No,Often
18-25,Male,seaman,1-3 years,Inland/Land-Based,Satisfied,Yes,Likely,5,Sometimes,sometimes,fair,Sometimes,Yes,Sometimes,yes,No,Never,Yes,Good,unsure,Sometimes,No,Sometimes
36-45,Male,able seaman ,16+ years,Administrative Office,Satisfied,Yes,Likely,5,Sometimes,Yes,Good,Rarely,sometimes,No,No,never,no,excellent,no,No,rarely,No,rarely
36-45,Male,able seaman ,16+ years,Administrative Office,Very satisfied,sometimes,Likely,3,Sometimes,sometimes,fair,always,Yes,Sometimes,No,no,Never,yes,Excellent,Yes,rarely,No,Sometimes
36-45,Female,petty officer ,16+ years,Administartive Office ,Satisfied,sometimes,Likely,5,Often,sometimes,fair,Sometimes,Yes,Sometimes,no,yes,never,yes,Excellent,unsure,Sometimes,No,Sometimes
26-35,male,able seaman,8-15 years,Administartive Office ,Very satisfied,yes,Very likely,5,Always,yes,Excellent,rarely,no,no,no,no,never,no,Excellent,No,rarely,No,never
26-35,Male,able seaman,8-15 years,coastal/sea-based,Satisfied,Yes,very likely,5,sometimes,Yes,Good,Rarely,no,yes,yes,yes,never,Yes,Excellent,Yes,never,No,Sometimes
26-35,male,able seaman ,4-7 years,Administrative Office,Neutral,sometimes,unlikely,3,Sometimes,sometimes,poor,Rarely,yes,No,No,yes,never,no,Fair,No,never,No,Sometimes
26-35,Male,able seaman ,8-15 years,Administrative Office,Neutral,sometimes,Likely,4,Often,sometimes,fair,Sometimes,sometimes,Sometimes,yes,yes,rarely,Yes,Excellent,unsure,often,no,rarely
26-35,male,able seaman,8-15 years ,Administrative Office,Satisfied,Yes,Very likely,5,Sometimes,Yes,Good,often,Yes,No,No,yes,rarely,Yes,Good,No,often,No,Often
26-35,male,able seaman,8-15 years,Administrative Office,Satisfied,Yes,Likely,3,Often,no,poor,often,Yes,yes,No,no,never,no,Good,Yes,Sometimes,No,rarely
 26-35,male,seaman,8- 15 years,Administrative Office,Neutral,sometimes,Likely,3,Sometimes,sometimes,not available,Sometimes,Yes,No,No,yes,never,Yes,Good,No,often,yes,Sometimes
18-25,male,seaman,4-7 years,Administrative Office,Very satisfied,yes,Very likely,5,always,sometimes,Excellent,Sometimes,Yes,yes,No,no,Never,no,Good,Yes,never,No,never
26-35,Female,able seaman,4-7 years,Inland/Land-Based,Satisfied,sometimes,Likely,4,Sometimes,sometimes,Good,always,Yes,No,No,no,Never,Yes,Good,No,always,No,Sometimes
36-45,Male,petty officer ,16+ years,coastal/sea-based,Neutral,Yes,Likely,5,Sometimes,sometimes,Excellent,Sometimes,sometimes,yes,No,no,Never,Yes,Good,Yes,Sometimes,No,Sometimes
26-35,Male,able seaman,8-15 years ,Administrative Office,Satisfied,sometimes,Likely,3,Sometimes,sometimes,Good,Sometimes,Yes,No,No,no,Never,Yes,Good,No,never,No,Sometimes
26-35,Male,able seaman,8- 15 years,coastal/sea-based,Satisfied,Yes,Very likely,3,Sometimes,sometimes,fair,Sometimes,Yes,Sometimes,No,no,Never,Yes,Good,unsure,Sometimes,No,never
26-35,Male,able seaman,8-15 years,Administrative Office,Neutral,sometimes,unlikely,3,Sometimes,no,poor,often,Yes,No,No,yes,never,Yes,Good,unsure,Sometimes,No,Sometimes
26-35,Male,seaman,4-7 years,Inland/Land-Based,Very satisfied,sometimes,Very likely,4,Often,sometimes,Good,always,Yes,Sometimes,yes,yes,sometimes,Yes,Good,No,Sometimes,No,Sometimes
26-35,male,able seaman,8-15 years,coastal/sea-based,Satisfied,sometimes,Likely,3,Sometimes,sometimes,fair,Sometimes,Yes,yes,No,no,Never,Yes,Excellent,unsure,rarely,No,Sometimes
